Account: 1, Balance: 19.40, Interest: 0.00, Fees: 0.00
Account: 2, Balance: 15.80, Interest: 0.00, Fees: 0.00
Account: 3, Balance: 14.70, Interest: 0.00, Fees: 0.00
Account: 4, Balance: 4.00, Interest: 0.00, Fees: 0.00
Account: 5, Balance: 34.50, Interest: 0.00, Fees: 0.00
Account: 6, Balance: 21.80, Interest: 0.00, Fees: 0.00
Account: 7, Balance: 19.30, Interest: 0.00, Fees: 0.00
Account: 8, Balance: 60.50, Interest: 0.00, Fees: 0.00
Account: 9, Balance: 56.00, Interest: 0.00, Fees: 0.00
Account: 10, Balance: 15.90, Interest: 0.00, Fees: 0.00
Account: 11, Balance: 21.20, Interest: 0.00, Fees: 0.00
Account: 12, Balance: 17.60, Interest: 0.00, Fees: 0.00
Account: 13, Balance: 4.10, Interest: 0.00, Fees: 0.12
Account: 14, Balance: 1.50, Interest: 0.00, Fees: 0.00
Account: 15, Balance: 48.90, Interest: 0.00, Fees: 0.00
Account: 16, Balance: 73.30, Interest: 0.00, Fees: 0.00
Account: 17, Balance: 3.30, Interest: 0.00, Fees: 0.00
Account: 18, Balance: 14.40, Interest: 0.00, Fees: 0.00
Account: 19, Balance: 48.00, Interest: 0.00, Fees: 0.00
Account: 20, Balance: 36.90, Interest: 0.00, Fees: 0.00
Account: 21, Balance: 11.20, Interest: 0.00, Fees: 0.00
Account: 22, Balance: 5.50, Interest: 0.00, Fees: 0.00
Account: 23, Balance: 10.40, Interest: 0.00, Fees: 0.00
Account: 24, Balance: 40.00, Interest: 0.00, Fees: 0.00
Account: 25, Balance: 6.10, Interest: 0.00, Fees: 0.00
Account: 26, Balance: 4.60, Interest: 0.00, Fees: 0.00
Account: 27, Balance: 28.40, Interest: 0.00, Fees: 0.00
Account: 28, Balance: 6.80, Interest: 0.00, Fees: 0.00
Account: 29, Balance: 33.90, Interest: 0.00, Fees: 0.00
Account: 30, Balance: 0.20, Interest: 0.00, Fees: 0.00
Account: 31, Balance: 3.10, Interest: 0.00, Fees: 0.00
Account: 32, Balance: 3.00, Interest: 0.00, Fees: 0.00
Account: 33, Balance: 41.00, Interest: 0.00, Fees: 0.00
Account: 34, Balance: 25.30, Interest: 0.00, Fees: 0.00
Account: 35, Balance: 16.60, Interest: 0.00, Fees: 0.00
Account: 36, Balance: 11.00, Interest: 0.00, Fees: 0.00
Account: 37, Balance: 0.70, Interest: 0.00, Fees: 0.00
Account: 38, Balance: 61.20, Interest: 0.00, Fees: 0.00
Account: 39, Balance: 84.30, Interest: 0.00, Fees: 0.00
Account: 40, Balance: 4.30, Interest: 0.00, Fees: 0.00
Account: 41, Balance: 37.50, Interest: 0.00, Fees: 0.00
Account: 42, Balance: 30.20, Interest: 0.00, Fees: 0.00
Account: 43, Balance: 61.00, Interest: 0.00, Fees: 0.00
Account: 44, Balance: 26.30, Interest: 0.00, Fees: 0.00
Account: 45, Balance: 18.60, Interest: 0.00, Fees: 0.00
Account: 46, Balance: 39.60, Interest: 0.00, Fees: 0.00
Account: 47, Balance: 3.20, Interest: 0.00, Fees: 0.00
Account: 48, Balance: 22.60, Interest: 0.00, Fees: 0.00
Account: 49, Balance: 10.00, Interest: 0.00, Fees: 0.00
Account: 50, Balance: 49.20, Interest: 0.00, Fees: 0.00
